Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
javacpp,org.bytedeco.javacpp,AdapterTest,testStdString,Magic Number,The method contains a magic number: 42,159
javacpp,org.bytedeco.javacpp,AdapterTest,testSharedPtr,Magic Number,The method contains a magic number: 42,266
javacpp,org.bytedeco.javacpp,AdapterTest,testSharedPtr,Magic Number,The method contains a magic number: 2,266
javacpp,org.bytedeco.javacpp,AdapterTest,testSharedPtr,Magic Number,The method contains a magic number: 2,266
javacpp,org.bytedeco.javacpp,AdapterTest,testSharedPtr,Magic Number,The method contains a magic number: 13,266
javacpp,org.bytedeco.javacpp,AdapterTest,testSharedPtr,Magic Number,The method contains a magic number: 2,266
javacpp,org.bytedeco.javacpp,AdapterTest,testSharedPtr,Magic Number,The method contains a magic number: 3,266
javacpp,org.bytedeco.javacpp,AdapterTest,testSharedPtr,Magic Number,The method contains a magic number: 2,266
javacpp,org.bytedeco.javacpp,AdapterTest,testSharedPtr,Magic Number,The method contains a magic number: 13,266
javacpp,org.bytedeco.javacpp,AdapterTest,testSharedPtr,Magic Number,The method contains a magic number: 2,266
javacpp,org.bytedeco.javacpp,AdapterTest,testSharedPtr,Magic Number,The method contains a magic number: 3,266
javacpp,org.bytedeco.javacpp,AdapterTest,testSharedPtr,Magic Number,The method contains a magic number: 13,266
javacpp,org.bytedeco.javacpp,AdapterTest,testSharedPtr,Magic Number,The method contains a magic number: 3,266
javacpp,org.bytedeco.javacpp,AdapterTest,testSharedPtr,Magic Number,The method contains a magic number: 45,266
javacpp,org.bytedeco.javacpp,AdapterTest,testSharedPtr,Magic Number,The method contains a magic number: 2,266
javacpp,org.bytedeco.javacpp,AdapterTest,testSharedPtr,Magic Number,The method contains a magic number: 3,266
javacpp,org.bytedeco.javacpp,AdapterTest,testSharedPtr,Magic Number,The method contains a magic number: 2,266
javacpp,org.bytedeco.javacpp,AdapterTest,testSharedPtr,Magic Number,The method contains a magic number: 13,266
javacpp,org.bytedeco.javacpp,AdapterTest,testSharedPtr,Magic Number,The method contains a magic number: 2,266
javacpp,org.bytedeco.javacpp,AdapterTest,testSharedPtr,Magic Number,The method contains a magic number: 2,266
javacpp,org.bytedeco.javacpp,AdapterTest,call,Magic Number,The method contains a magic number: 2,284
javacpp,org.bytedeco.javacpp,AdapterTest,call,Magic Number,The method contains a magic number: 3,284
javacpp,org.bytedeco.javacpp,AdapterTest,testUniquePtr,Magic Number,The method contains a magic number: 13,318
javacpp,org.bytedeco.javacpp,AdapterTest,testUniquePtr,Magic Number,The method contains a magic number: 5,318
javacpp,org.bytedeco.javacpp,AdapterTest,testUniquePtr,Magic Number,The method contains a magic number: 5,318
javacpp,org.bytedeco.javacpp,AdapterTest,testUniquePtr,Magic Number,The method contains a magic number: 42,318
javacpp,org.bytedeco.javacpp,AdapterTest,testUniquePtr,Magic Number,The method contains a magic number: 42,318
javacpp,org.bytedeco.javacpp,AdapterTest,testUniquePtr,Magic Number,The method contains a magic number: 2,318
javacpp,org.bytedeco.javacpp,AdapterTest,testUniquePtr,Magic Number,The method contains a magic number: 3,318
javacpp,org.bytedeco.javacpp,AdapterTest,testUniquePtr,Magic Number,The method contains a magic number: 2,318
javacpp,org.bytedeco.javacpp,AdapterTest,testUniquePtr,Magic Number,The method contains a magic number: 42,318
javacpp,org.bytedeco.javacpp,AdapterTest,testUniquePtr,Magic Number,The method contains a magic number: 2,318
javacpp,org.bytedeco.javacpp,AdapterTest,testUniquePtr,Magic Number,The method contains a magic number: 3,318
javacpp,org.bytedeco.javacpp,AdapterTest,testUniquePtr,Magic Number,The method contains a magic number: 42,318
javacpp,org.bytedeco.javacpp,AdapterTest,call,Magic Number,The method contains a magic number: 2,343
javacpp,org.bytedeco.javacpp,AdapterTest,call,Magic Number,The method contains a magic number: 3,343
javacpp,org.bytedeco.javacpp,AdapterTest,testStdMove,Magic Number,The method contains a magic number: 13,376
javacpp,org.bytedeco.javacpp,AdapterTest,testStdMove,Magic Number,The method contains a magic number: 42,376
