Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
javacpp,org.bytedeco.javacpp,AdapterTest,testStdString,0,1,1,56,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testStdString,0,1,1,57,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testStdWString,0,1,1,59,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testStdWString,0,1,1,60,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testStdWString,0,1,1,61,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testStdString2,0,1,1,63,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testStdString2,0,1,1,64,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testStdWString2,0,1,1,65,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testStdWString2,0,1,1,66,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testStdU16String,0,1,1,68,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testStdU16String,0,1,1,69,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testStdU32String,0,1,1,70,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testCharString,0,1,1,72,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testCharString,0,1,1,73,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testShortString,0,1,1,75,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testShortString,0,1,1,76,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testIntString,0,1,1,78,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,getConstStdString,0,1,0,80,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,getConstStdString2,0,1,0,81,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,createSharedData,0,1,0,91,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,storeSharedData,0,1,1,92,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,fetchSharedData,0,1,0,93,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,useCount,0,1,0,94,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,useCount,0,1,1,95,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,createUniqueData,0,1,0,105,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,createUniqueData,0,1,1,106,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,storeUniqueData,0,1,1,107,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,fetchUniqueData,0,1,0,108,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,constructorCount,0,1,0,110,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,constructorCount,0,1,1,110,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,destructorCount,0,1,0,111,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,destructorCount,0,1,1,111,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testStdVectorByVal,0,1,1,113,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testStdVectorByRef,0,1,1,114,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testStdVectorByPtr,0,1,1,115,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testStdVectorConstPointer,0,1,1,116,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,getMovedData,0,1,0,126,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,putMovedData,0,1,1,127,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testOptionalInt,0,1,1,129,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testCallback,0,1,2,138,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testCallback,0,1,2,147,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,setUpClass,8,1,0,149,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testStdString,53,4,0,159,1,,
javacpp,org.bytedeco.javacpp,AdapterTest,testCharString,11,1,0,226,1,,
javacpp,org.bytedeco.javacpp,AdapterTest,testShortString,11,1,0,240,1,,
javacpp,org.bytedeco.javacpp,AdapterTest,testIntString,9,1,0,255,1,,
javacpp,org.bytedeco.javacpp,AdapterTest,testSharedPtr,42,1,0,266,1,,
javacpp,org.bytedeco.javacpp,AdapterTest,call,5,1,1,284,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testUniquePtr,29,1,0,318,1,,
javacpp,org.bytedeco.javacpp,AdapterTest,call,5,1,1,343,0,,
javacpp,org.bytedeco.javacpp,AdapterTest,testStdVector,18,2,0,355,1,,
javacpp,org.bytedeco.javacpp,AdapterTest,testStdMove,22,1,0,376,1,,
javacpp,org.bytedeco.javacpp,AdapterTest,testOptional,5,1,0,400,1,,
javacpp,org.bytedeco.javacpp,EnumTest,BoolEnum,3,1,1,45,0,,
javacpp,org.bytedeco.javacpp,EnumTest,ByteEnum,3,1,1,52,0,,
javacpp,org.bytedeco.javacpp,EnumTest,ShortEnum,3,1,1,59,0,,
javacpp,org.bytedeco.javacpp,EnumTest,IntEnum,3,1,1,66,0,,
javacpp,org.bytedeco.javacpp,EnumTest,LongEnum,3,1,1,73,0,,
javacpp,org.bytedeco.javacpp,EnumTest,Char2Bool,0,1,1,87,0,,
javacpp,org.bytedeco.javacpp,EnumTest,Char2Short,0,1,1,88,0,,
javacpp,org.bytedeco.javacpp,EnumTest,Int2Long,0,1,1,89,0,,
javacpp,org.bytedeco.javacpp,EnumTest,enumCallback,0,1,1,90,0,,
javacpp,org.bytedeco.javacpp,EnumTest,setUpClass,8,1,0,92,0,,
javacpp,org.bytedeco.javacpp,EnumTest,testEnum,13,1,0,102,1,,
javacpp,org.bytedeco.javacpp,PointerTest,setUpClass,22,1,0,69,0,,
javacpp,org.bytedeco.javacpp,PointerTest,testFunctionPointer,42,3,0,96,1,,
javacpp,org.bytedeco.javacpp,PointerTest,call,3,1,1,111,0,,
javacpp,org.bytedeco.javacpp,PointerTest,call,3,1,1,121,0,,
javacpp,org.bytedeco.javacpp,PointerTest,call,3,1,1,130,0,,
javacpp,org.bytedeco.javacpp,PointerTest,testPointer,33,1,0,137,1,,
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,105,10,0,169,1,,
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,84,9,0,283,1,,
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,84,9,0,375,1,,
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,84,9,0,467,1,,
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,84,9,0,559,1,,
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,84,9,0,651,1,,
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,84,9,0,743,1,,
javacpp,org.bytedeco.javacpp,PointerTest,testBooleanPointer,83,9,0,835,1,,
javacpp,org.bytedeco.javacpp,PointerTest,testPointerPointer,97,12,0,926,1,,
javacpp,org.bytedeco.javacpp,PointerTest,testDeallocator,44,8,0,1026,1,,
javacpp,org.bytedeco.javacpp,PointerTest,run,22,5,0,1036,0,,
javacpp,org.bytedeco.javacpp,PointerTest,testPointerScope,68,1,0,1069,1,,
javacpp,org.bytedeco.javacpp,PointerTest,testParseBytesWithRelativeUnits,14,1,0,1146,1,,
javacpp,org.bytedeco.javacpp,PointerTest,testNoFileBytes,17,2,0,1161,1,,
javacpp,org.bytedeco.javacpp,BufferTest,bufferCallback,0,1,1,59,0,,
javacpp,org.bytedeco.javacpp,BufferTest,getByte,0,1,1,61,0,,
javacpp,org.bytedeco.javacpp,BufferTest,putByte,0,1,2,63,0,,
javacpp,org.bytedeco.javacpp,BufferTest,getShort,0,1,1,64,0,,
javacpp,org.bytedeco.javacpp,BufferTest,putShort,0,1,2,65,0,,
javacpp,org.bytedeco.javacpp,BufferTest,getInt,0,1,1,67,0,,
javacpp,org.bytedeco.javacpp,BufferTest,putInt,0,1,2,68,0,,
javacpp,org.bytedeco.javacpp,BufferTest,getLong,0,1,1,69,0,,
javacpp,org.bytedeco.javacpp,BufferTest,putLong,0,1,2,71,0,,
javacpp,org.bytedeco.javacpp,BufferTest,getFloat,0,1,1,72,0,,
javacpp,org.bytedeco.javacpp,BufferTest,putFloat,0,1,2,73,0,,
javacpp,org.bytedeco.javacpp,BufferTest,getDouble,0,1,1,75,0,,
javacpp,org.bytedeco.javacpp,BufferTest,putDouble,0,1,2,76,0,,
javacpp,org.bytedeco.javacpp,BufferTest,setUpClass,8,1,0,78,0,,
javacpp,org.bytedeco.javacpp,BufferTest,testBufferCallback,4,1,0,88,1,,
javacpp,org.bytedeco.javacpp,BufferTest,testByteBuffer,17,1,0,93,1,,
javacpp,org.bytedeco.javacpp,BufferTest,testShortBuffer,16,1,0,116,1,,
javacpp,org.bytedeco.javacpp,BufferTest,testIntBuffer,16,1,0,138,1,,
javacpp,org.bytedeco.javacpp,BufferTest,testLongBuffer,16,1,0,160,1,,
javacpp,org.bytedeco.javacpp,BufferTest,testFloatBuffer,16,1,0,182,1,,
javacpp,org.bytedeco.javacpp,BufferTest,testDoubleBuffer,16,1,0,204,1,,
javacpp,org.bytedeco.javacpp,IndexerTest,setUpClass,9,1,0,68,0,,
javacpp,org.bytedeco.javacpp,IndexerTest,tearDownClass,3,1,0,81,0,,
javacpp,org.bytedeco.javacpp,IndexerTest,testDefaultStrides,8,1,0,93,1,,
javacpp,org.bytedeco.javacpp,IndexerTest,testIndexer,22,1,0,102,1,,
javacpp,org.bytedeco.javacpp,IndexerTest,testByteIndexer,113,12,0,128,1,,
javacpp,org.bytedeco.javacpp,IndexerTest,testShortIndexer,73,11,0,246,1,,
javacpp,org.bytedeco.javacpp,IndexerTest,testIntIndexer,73,11,0,320,1,,
javacpp,org.bytedeco.javacpp,IndexerTest,testLongIndexer,73,11,0,394,1,,
javacpp,org.bytedeco.javacpp,IndexerTest,testFloatIndexer,73,11,0,468,1,,
javacpp,org.bytedeco.javacpp,IndexerTest,testDoubleIndexer,73,11,0,542,1,,
javacpp,org.bytedeco.javacpp,IndexerTest,testCharIndexer,73,11,0,616,1,,
javacpp,org.bytedeco.javacpp,IndexerTest,testBooleanIndexer,78,11,0,690,1,,
javacpp,org.bytedeco.javacpp,IndexerTest,testUByteIndexer,74,11,0,769,1,,
javacpp,org.bytedeco.javacpp,IndexerTest,testUShortIndexer,74,11,0,844,1,,
