Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
javacpp,org.bytedeco.javacpp,AdapterTest,testStdString,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 19
javacpp,org.bytedeco.javacpp,AdapterTest,testStdString,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,AdapterTest,testCharString,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javacpp,org.bytedeco.javacpp,AdapterTest,testShortString,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javacpp,org.bytedeco.javacpp,AdapterTest,testIntString,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javacpp,org.bytedeco.javacpp,AdapterTest,testSharedPtr,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 18
javacpp,org.bytedeco.javacpp,AdapterTest,testUniquePtr,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
javacpp,org.bytedeco.javacpp,AdapterTest,testStdVector,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javacpp,org.bytedeco.javacpp,AdapterTest,testStdMove,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
javacpp,org.bytedeco.javacpp,AdapterTest,testOptional,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javacpp,org.bytedeco.javacpp,EnumTest,BoolEnum,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.
javacpp,org.bytedeco.javacpp,EnumTest,ByteEnum,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.
javacpp,org.bytedeco.javacpp,EnumTest,ShortEnum,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.
javacpp,org.bytedeco.javacpp,EnumTest,IntEnum,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.
javacpp,org.bytedeco.javacpp,EnumTest,LongEnum,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.
javacpp,org.bytedeco.javacpp,EnumTest,testEnum,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
javacpp,org.bytedeco.javacpp,PointerTest,testFunctionPointer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
javacpp,org.bytedeco.javacpp,PointerTest,testPointer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 36
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 26
