Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
javacpp,org.bytedeco.javacpp,AdapterTest,0,0,53,12,308,57,0,0,-1.0,0,6,/Users/pinksteam/IdeaProjects/javacpp/src/test/java/org/bytedeco/javacpp/AdapterTest.java,48
javacpp,org.bytedeco.javacpp,AdapterTest.SharedData,0,0,0,0,11,0,0,1,-1.0,0,0,/Users/pinksteam/IdeaProjects/javacpp/src/test/java/org/bytedeco/javacpp/AdapterTest.java,83
javacpp,org.bytedeco.javacpp,AdapterTest.UniqueData,0,0,0,0,11,0,0,1,-1.0,0,0,/Users/pinksteam/IdeaProjects/javacpp/src/test/java/org/bytedeco/javacpp/AdapterTest.java,97
javacpp,org.bytedeco.javacpp,AdapterTest.MovedData,0,0,0,0,11,0,0,1,-1.0,0,0,/Users/pinksteam/IdeaProjects/javacpp/src/test/java/org/bytedeco/javacpp/AdapterTest.java,118
javacpp,org.bytedeco.javacpp,AdapterTest.SharedFunction,0,0,0,0,10,0,0,2,-1.0,0,0,/Users/pinksteam/IdeaProjects/javacpp/src/test/java/org/bytedeco/javacpp/AdapterTest.java,131
javacpp,org.bytedeco.javacpp,AdapterTest.UniqueFunction,0,0,0,0,10,0,0,2,-1.0,0,0,/Users/pinksteam/IdeaProjects/javacpp/src/test/java/org/bytedeco/javacpp/AdapterTest.java,140
javacpp,org.bytedeco.javacpp,EnumTest,5,5,11,6,69,11,0,0,0.18181818181818182,0,2,/Users/pinksteam/IdeaProjects/javacpp/src/test/java/org/bytedeco/javacpp/EnumTest.java,33
javacpp,org.bytedeco.javacpp,EnumTest.BoolEnum,1,1,0,0,5,0,0,0,-1.0,0,0,/Users/pinksteam/IdeaProjects/javacpp/src/test/java/org/bytedeco/javacpp/EnumTest.java,41
javacpp,org.bytedeco.javacpp,EnumTest.ByteEnum,1,1,0,0,5,0,0,0,-1.0,0,0,/Users/pinksteam/IdeaProjects/javacpp/src/test/java/org/bytedeco/javacpp/EnumTest.java,48
javacpp,org.bytedeco.javacpp,EnumTest.ShortEnum,1,1,0,0,5,0,0,0,-1.0,0,0,/Users/pinksteam/IdeaProjects/javacpp/src/test/java/org/bytedeco/javacpp/EnumTest.java,55
javacpp,org.bytedeco.javacpp,EnumTest.IntEnum,1,1,0,0,5,0,0,0,-1.0,0,0,/Users/pinksteam/IdeaProjects/javacpp/src/test/java/org/bytedeco/javacpp/EnumTest.java,62
javacpp,org.bytedeco.javacpp,EnumTest.LongEnum,1,1,0,0,5,0,0,0,-1.0,0,0,/Users/pinksteam/IdeaProjects/javacpp/src/test/java/org/bytedeco/javacpp/EnumTest.java,69
javacpp,org.bytedeco.javacpp,EnumTest.EnumCallback,0,0,0,0,13,0,0,2,-1.0,0,0,/Users/pinksteam/IdeaProjects/javacpp/src/test/java/org/bytedeco/javacpp/EnumTest.java,76
javacpp,org.bytedeco.javacpp,PointerTest,3,0,20,20,1050,110,0,0,0.4,0,13,/Users/pinksteam/IdeaProjects/javacpp/src/test/java/org/bytedeco/javacpp/PointerTest.java,48
javacpp,org.bytedeco.javacpp,PointerTest.TestFunction,0,0,0,0,12,0,0,2,-1.0,0,0,/Users/pinksteam/IdeaProjects/javacpp/src/test/java/org/bytedeco/javacpp/PointerTest.java,59
javacpp,org.bytedeco.javacpp,BufferTest,1,0,21,21,142,21,0,0,0.14285714285714285,0,9,/Users/pinksteam/IdeaProjects/javacpp/src/test/java/org/bytedeco/javacpp/BufferTest.java,39
javacpp,org.bytedeco.javacpp,BufferTest.BufferCallback,1,0,0,0,14,0,0,2,-1.0,0,0,/Users/pinksteam/IdeaProjects/javacpp/src/test/java/org/bytedeco/javacpp/BufferTest.java,47
javacpp,org.bytedeco.javacpp,IndexerTest,0,0,32,32,1247,179,0,0,-1.0,0,27,/Users/pinksteam/IdeaProjects/javacpp/src/test/java/org/bytedeco/javacpp/IndexerTest.java,60
javacpp,org.bytedeco.javacpp,IndexerTest.TestIndexer,0,0,0,0,16,0,0,0,-1.0,0,0,/Users/pinksteam/IdeaProjects/javacpp/src/test/java/org/bytedeco/javacpp/IndexerTest.java,85
javacpp,org.bytedeco.javacpp,BuilderTest,4,0,3,3,72,7,0,1,0.0,0,4,/Users/pinksteam/IdeaProjects/javacpp/src/test/java/org/bytedeco/javacpp/BuilderTest.java,34
javacpp,org.bytedeco.javacpp,ThreadTest,0,0,4,3,75,6,0,0,-1.0,0,2,/Users/pinksteam/IdeaProjects/javacpp/src/test/java/org/bytedeco/javacpp/ThreadTest.java,17
javacpp,org.bytedeco.javacpp,ThreadTest.Callback,0,0,0,0,31,0,0,1,-1.0,0,0,/Users/pinksteam/IdeaProjects/javacpp/src/test/java/org/bytedeco/javacpp/ThreadTest.java,30
javacpp,org.bytedeco.javacpp,Pointer,25,0,65,56,0,116,17,0,0.27692307692307694,22,3,/Users/pinksteam/IdeaProjects/javacpp/src/main/java/org/bytedeco/javacpp/Pointer.java,40
javacpp,org.bytedeco.javacpp,Pointer.Deallocator,0,0,0,0,6,0,0,0,-1.0,0,0,/Users/pinksteam/IdeaProjects/javacpp/src/main/java/org/bytedeco/javacpp/Pointer.java,139
javacpp,org.bytedeco.javacpp,Pointer.ReferenceCounter,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/pinksteam/IdeaProjects/javacpp/src/main/java/org/bytedeco/javacpp/Pointer.java,144
javacpp,org.bytedeco.javacpp,Pointer.CustomDeallocator,2,0,0,0,44,0,0,0,-1.0,0,1,/Users/pinksteam/IdeaProjects/javacpp/src/main/java/org/bytedeco/javacpp/Pointer.java,160
